a,0.6586905427294919
b,0,0.8933298265812474
b,1,0.5125407283456289
c,0,0.6739409491924201
c,1,0.08060593741515065
d,0,0.2328541538614901
d,1,0.6411257311081043
e,0,0,0,0,0.9605092371778331
e,0,0,0,1,0.29937901725792704
e,0,0,1,0,0.043602590302837196
e,0,0,1,1,0.2042211783605017
e,0,1,0,0,0.5838318678286435
e,0,1,0,1,0.6449785699142304
e,0,1,1,0,0.8428682858070935
e,0,1,1,1,0.6103551924757439
e,1,0,0,0,0.0792292225016149
e,1,0,0,1,0.5150950739187724
e,1,0,1,0,0.6346259144832795
e,1,0,1,1,0.44030436942985174
e,1,1,0,0,0.5912148034174216
e,1,1,0,1,0.1697487039754937
e,1,1,1,0,0.2202475397524286
e,1,1,1,1,0.5648666996919314
